pair_index,free_slot,sent_order,template,differences,case,referent,prime,prime_referent,prime_case,prime_style,has_personal_pronoun,has_inanimate_pronoun
0,2,"[0, 1]",The technician told the customer that BLANK had completed the repair.,"['he', 'she']",$NOM_PRONOUN,technician,The customer and the technician were both present.,customer,$NOM_PRONOUN,conjunction,False,False
0,1,"[1, 0]",The technician told the customer that BLANK could pay with cash.,"['he', 'she']",$NOM_PRONOUN,customer,The customer and the technician were both present.,technician,$NOM_PRONOUN,conjunction,False,False
1,2,"[0, 1]",The technician had to call the customer for BLANK to convey that the repairs were done.,"['him', 'her']",$ACC_PRONOUN,technician,The customer and the technician were both present.,customer,$ACC_PRONOUN,conjunction,False,False
1,1,"[1, 0]",The technician had to call the customer for BLANK to pay for the repair.,"['him', 'her']",$ACC_PRONOUN,customer,The customer and the technician were both present.,technician,$ACC_PRONOUN,conjunction,False,False
2,2,"[0, 1]",The customer told the technician that BLANK charges were too high.,"['his', 'her']",$POSS_PRONOUN,technician,The customer and the technician were both present.,customer,$POSS_PRONOUN,conjunction,False,False
2,1,"[1, 0]",The customer told the technician that BLANK fridge was no longer working.,"['his', 'her']",$POSS_PRONOUN,customer,The customer and the technician were both present.,technician,$POSS_PRONOUN,conjunction,False,False
3,2,"[0, 1]",The taxpayer met with the accountant to find out if BLANK could help with tax preparation.,"['he', 'she']",$NOM_PRONOUN,accountant,The taxpayer and the accountant were both present.,taxpayer,$NOM_PRONOUN,conjunction,False,False
3,1,"[1, 0]",The taxpayer met with the accountant to find out if BLANK could save on taxes.,"['he', 'she']",$NOM_PRONOUN,taxpayer,The taxpayer and the accountant were both present.,accountant,$NOM_PRONOUN,conjunction,False,False
4,2,"[0, 1]",The taxpayer met with the accountant for BLANK to help with tax preparation.,"['him', 'her']",$ACC_PRONOUN,accountant,The taxpayer and the accountant were both present.,taxpayer,$ACC_PRONOUN,conjunction,False,False
4,1,"[1, 0]",The taxpayer met with the accountant for BLANK to get tax preparation help.,"['him', 'her']",$ACC_PRONOUN,taxpayer,The taxpayer and the accountant were both present.,accountant,$ACC_PRONOUN,conjunction,False,False
5,2,"[0, 1]",The taxpayer had questions for the accountant about BLANK charges for preparing tax returns.,"['his', 'her']",$POSS_PRONOUN,accountant,The taxpayer and the accountant were both present.,taxpayer,$POSS_PRONOUN,conjunction,False,False
5,1,"[1, 0]",The taxpayer had questions for the accountant about BLANK tax return from last year.,"['his', 'her']",$POSS_PRONOUN,taxpayer,The taxpayer and the accountant were both present.,accountant,$POSS_PRONOUN,conjunction,False,False
6,2,"[0, 1]",The employee met with the supervisor to ask whether BLANK would approve a part-time contract.,"['he', 'she']",$NOM_PRONOUN,supervisor,The employee and the supervisor were both present.,employee,$NOM_PRONOUN,conjunction,False,False
6,1,"[1, 0]",The employee met with the supervisor to ask whether BLANK could work part-time.,"['he', 'she']",$NOM_PRONOUN,employee,The employee and the supervisor were both present.,supervisor,$NOM_PRONOUN,conjunction,False,False
7,2,"[0, 1]",The supervisor had to ask the employee many questions for BLANK to do a complete performance evaluation.,"['him', 'her']",$ACC_PRONOUN,supervisor,The employee and the supervisor were both present.,employee,$ACC_PRONOUN,conjunction,False,False
7,1,"[1, 0]",The supervisor had to ask the employee many questions for BLANK to finally tell the truth.,"['him', 'her']",$ACC_PRONOUN,employee,The employee and the supervisor were both present.,supervisor,$ACC_PRONOUN,conjunction,False,False
8,2,"[0, 1]",The supervisor gave the employee BLANK honest feedback.,"['his', 'her']",$POSS_PRONOUN,supervisor,The employee and the supervisor were both present.,employee,$POSS_PRONOUN,conjunction,False,False
8,1,"[1, 0]",The supervisor gave the employee BLANK year-end bonus.,"['his', 'her']",$POSS_PRONOUN,employee,The employee and the supervisor were both present.,supervisor,$POSS_PRONOUN,conjunction,False,False
9,2,"[0, 1]",The engineer informed the client that BLANK would need to make all future payments on time.,"['he', 'she']",$NOM_PRONOUN,client,The engineer and the client were both present.,engineer,$NOM_PRONOUN,conjunction,False,False
9,1,"[1, 0]",The engineer informed the client that BLANK would need more time to complete the project.,"['he', 'she']",$NOM_PRONOUN,engineer,The engineer and the client were both present.,client,$NOM_PRONOUN,conjunction,False,False
10,2,"[0, 1]",The engineer met with the client for BLANK to provide feedback on the plans for the new bridge.,"['him', 'her']",$ACC_PRONOUN,client,The engineer and the client were both present.,engineer,$ACC_PRONOUN,conjunction,False,False
10,1,"[1, 0]",The engineer met with the client for BLANK to present the updated plans for the new bridge.,"['him', 'her']",$ACC_PRONOUN,engineer,The engineer and the client were both present.,client,$ACC_PRONOUN,conjunction,False,False
11,2,"[0, 1]",The engineer told the client that BLANK cheque had bounced.,"['his', 'her']",$POSS_PRONOUN,client,The engineer and the client were both present.,engineer,$POSS_PRONOUN,conjunction,False,False
11,1,"[1, 0]",The engineer told the client that BLANK calculations for the bridge were ready.,"['his', 'her']",$POSS_PRONOUN,engineer,The engineer and the client were both present.,client,$POSS_PRONOUN,conjunction,False,False
12,2,"[0, 1]",The worker told the pedestrian that BLANK would repair the sidewalk as quickly as possible.,"['he', 'she']",$NOM_PRONOUN,worker,The pedestrian and the worker were both present.,pedestrian,$NOM_PRONOUN,conjunction,False,False
12,1,"[1, 0]",The worker told the pedestrian that BLANK should avoid the closed portion of the street.,"['he', 'she']",$NOM_PRONOUN,pedestrian,The pedestrian and the worker were both present.,worker,$NOM_PRONOUN,conjunction,False,False
13,2,"[0, 1]",The worker asked the pedestrian to leave the construction area for BLANK to resume working without interruption.,"['him', 'her']",$ACC_PRONOUN,worker,The pedestrian and the worker were both present.,pedestrian,$ACC_PRONOUN,conjunction,False,False
13,1,"[1, 0]",The worker asked the pedestrian to leave the construction area for BLANK to be safe from falling debris.,"['him', 'her']",$ACC_PRONOUN,pedestrian,The pedestrian and the worker were both present.,worker,$ACC_PRONOUN,conjunction,False,False
