,Measurement,Role,GPrime,POrder,X
0,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
1,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
2,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
3,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
4,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
5,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
6,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
7,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
8,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
9,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
10,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
11,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
12,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
13,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
14,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
15,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
16,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
