pair_index,free_slot,sent_order,template,differences,case,referent,prime,prime_referent,prime_case,prime_style,has_personal_pronoun,has_inanimate_pronoun
0,2,"[0, 1]",The technician told the customer that BLANK had completed the repair.,"['he', 'she']",$NOM_PRONOUN,technician,The technician told the customer that the customer could pay with cash.,customer,$NOM_PRONOUN,repeated_np,False,False
0,1,"[1, 0]",The technician told the customer that BLANK could pay with cash.,"['he', 'she']",$NOM_PRONOUN,customer,The technician told the customer that the technician had completed the repair.,technician,$NOM_PRONOUN,repeated_np,False,False
1,2,"[0, 1]",The technician had to call the customer for BLANK to convey that the repairs were done.,"['him', 'her']",$ACC_PRONOUN,technician,The technician had to call the customer for the customer to pay for the repair.,customer,$ACC_PRONOUN,repeated_np,False,False
1,1,"[1, 0]",The technician had to call the customer for BLANK to pay for the repair.,"['him', 'her']",$ACC_PRONOUN,customer,The technician had to call the customer for the technician to convey that the repairs were done.,technician,$ACC_PRONOUN,repeated_np,False,False
2,2,"[0, 1]",The customer told the technician that BLANK charges were too high.,"['his', 'her']",$POSS_PRONOUN,technician,The customer told the technician that the customer's fridge was no longer working.,customer,$POSS_PRONOUN,repeated_np,False,False
2,1,"[1, 0]",The customer told the technician that BLANK fridge was no longer working.,"['his', 'her']",$POSS_PRONOUN,customer,The customer told the technician that the technician's charges were too high.,technician,$POSS_PRONOUN,repeated_np,False,False
3,2,"[0, 1]",The taxpayer met with the accountant to find out if BLANK could help with tax preparation.,"['he', 'she']",$NOM_PRONOUN,accountant,The taxpayer met with the accountant to find out if the taxpayer could save on taxes.,taxpayer,$NOM_PRONOUN,repeated_np,False,False
3,1,"[1, 0]",The taxpayer met with the accountant to find out if BLANK could save on taxes.,"['he', 'she']",$NOM_PRONOUN,taxpayer,The taxpayer met with the accountant to find out if the accountant could help with tax preparation.,accountant,$NOM_PRONOUN,repeated_np,False,False
4,2,"[0, 1]",The taxpayer met with the accountant for BLANK to help with tax preparation.,"['him', 'her']",$ACC_PRONOUN,accountant,The taxpayer met with the accountant for the taxpayer to get tax preparation help.,taxpayer,$ACC_PRONOUN,repeated_np,False,False
4,1,"[1, 0]",The taxpayer met with the accountant for BLANK to get tax preparation help.,"['him', 'her']",$ACC_PRONOUN,taxpayer,The taxpayer met with the accountant for the accountant to help with tax preparation.,accountant,$ACC_PRONOUN,repeated_np,False,False
5,2,"[0, 1]",The taxpayer had questions for the accountant about BLANK charges for preparing tax returns.,"['his', 'her']",$POSS_PRONOUN,accountant,The taxpayer had questions for the accountant about the taxpayer's tax return from last year.,taxpayer,$POSS_PRONOUN,repeated_np,False,False
5,1,"[1, 0]",The taxpayer had questions for the accountant about BLANK tax return from last year.,"['his', 'her']",$POSS_PRONOUN,taxpayer,The taxpayer had questions for the accountant about the accountant's charges for preparing tax returns.,accountant,$POSS_PRONOUN,repeated_np,False,False
6,2,"[0, 1]",The employee met with the supervisor to ask whether BLANK would approve a part-time contract.,"['he', 'she']",$NOM_PRONOUN,supervisor,The employee met with the supervisor to ask whether the employee could work part-time.,employee,$NOM_PRONOUN,repeated_np,False,False
6,1,"[1, 0]",The employee met with the supervisor to ask whether BLANK could work part-time.,"['he', 'she']",$NOM_PRONOUN,employee,The employee met with the supervisor to ask whether the supervisor would approve a part-time contract.,supervisor,$NOM_PRONOUN,repeated_np,False,False
7,2,"[0, 1]",The supervisor had to ask the employee many questions for BLANK to do a complete performance evaluation.,"['him', 'her']",$ACC_PRONOUN,supervisor,The supervisor had to ask the employee many questions for the employee to finally tell the truth.,employee,$ACC_PRONOUN,repeated_np,False,False
7,1,"[1, 0]",The supervisor had to ask the employee many questions for BLANK to finally tell the truth.,"['him', 'her']",$ACC_PRONOUN,employee,The supervisor had to ask the employee many questions for the supervisor to do a complete performance evaluation.,supervisor,$ACC_PRONOUN,repeated_np,False,False
8,2,"[0, 1]",The supervisor gave the employee BLANK honest feedback.,"['his', 'her']",$POSS_PRONOUN,supervisor,The supervisor gave the employee the employee's year-end bonus.,employee,$POSS_PRONOUN,repeated_np,False,False
8,1,"[1, 0]",The supervisor gave the employee BLANK year-end bonus.,"['his', 'her']",$POSS_PRONOUN,employee,The supervisor gave the employee the supervisor's honest feedback.,supervisor,$POSS_PRONOUN,repeated_np,False,False
9,2,"[0, 1]",The engineer informed the client that BLANK would need to make all future payments on time.,"['he', 'she']",$NOM_PRONOUN,client,The engineer informed the client that the engineer would need more time to complete the project.,engineer,$NOM_PRONOUN,repeated_np,False,False
9,1,"[1, 0]",The engineer informed the client that BLANK would need more time to complete the project.,"['he', 'she']",$NOM_PRONOUN,engineer,The engineer informed the client that the client would need to make all future payments on time.,client,$NOM_PRONOUN,repeated_np,False,False
10,2,"[0, 1]",The engineer met with the client for BLANK to provide feedback on the plans for the new bridge.,"['him', 'her']",$ACC_PRONOUN,client,The engineer met with the client for the engineer to present the updated plans for the new bridge.,engineer,$ACC_PRONOUN,repeated_np,False,False
10,1,"[1, 0]",The engineer met with the client for BLANK to present the updated plans for the new bridge.,"['him', 'her']",$ACC_PRONOUN,engineer,The engineer met with the client for the client to provide feedback on the plans for the new bridge.,client,$ACC_PRONOUN,repeated_np,False,False
11,2,"[0, 1]",The engineer told the client that BLANK cheque had bounced.,"['his', 'her']",$POSS_PRONOUN,client,The engineer told the client that the engineer's calculations for the bridge were ready.,engineer,$POSS_PRONOUN,repeated_np,False,False
11,1,"[1, 0]",The engineer told the client that BLANK calculations for the bridge were ready.,"['his', 'her']",$POSS_PRONOUN,engineer,The engineer told the client that the client's cheque had bounced.,client,$POSS_PRONOUN,repeated_np,False,False
12,2,"[0, 1]",The worker told the pedestrian that BLANK would repair the sidewalk as quickly as possible.,"['he', 'she']",$NOM_PRONOUN,worker,The worker told the pedestrian that the pedestrian should avoid the closed portion of the street.,pedestrian,$NOM_PRONOUN,repeated_np,False,False
12,1,"[1, 0]",The worker told the pedestrian that BLANK should avoid the closed portion of the street.,"['he', 'she']",$NOM_PRONOUN,pedestrian,The worker told the pedestrian that the worker would repair the sidewalk as quickly as possible.,worker,$NOM_PRONOUN,repeated_np,False,False
13,2,"[0, 1]",The worker asked the pedestrian to leave the construction area for BLANK to resume working without interruption.,"['him', 'her']",$ACC_PRONOUN,worker,The worker asked the pedestrian to leave the construction area for the pedestrian to be safe from falling debris.,pedestrian,$ACC_PRONOUN,repeated_np,False,False
13,1,"[1, 0]",The worker asked the pedestrian to leave the construction area for BLANK to be safe from falling debris.,"['him', 'her']",$ACC_PRONOUN,pedestrian,The worker asked the pedestrian to leave the construction area for the worker to resume working without interruption.,worker,$ACC_PRONOUN,repeated_np,False,False
14,2,"[0, 1]",The worker told the pedestrian to use the other sidewalk for BLANK work to continue.,"['his', 'her']",$POSS_PRONOUN,worker,The worker told the pedestrian to use the other sidewalk for the pedestrian's safety.,pedestrian,$POSS_PRONOUN,repeated_np,False,False
14,1,"[1, 0]",The worker told the pedestrian to use the other sidewalk for BLANK safety.,"['his', 'her']",$POSS_PRONOUN,pedestrian,The worker told the pedestrian to use the other sidewalk for the worker's work to continue.,worker,$POSS_PRONOUN,repeated_np,False,False
15,2,"[0, 1]",The educator met with the student to ask if BLANK could clarify any content.,"['he', 'she']",$NOM_PRONOUN,educator,The educator met with the student to ask if the student needed an extension.,student,$NOM_PRONOUN,repeated_np,False,False
15,1,"[1, 0]",The educator met with the student to ask if BLANK needed an extension.,"['he', 'she']",$NOM_PRONOUN,student,The educator met with the student to ask if the educator could clarify any content.,educator,$NOM_PRONOUN,repeated_np,False,False
16,2,"[0, 1]",The educator assigned the student homework for BLANK to assess comprehension of the material.,"['him', 'her']",$ACC_PRONOUN,educator,The educator assigned the student homework for the student to do after every lesson.,student,$ACC_PRONOUN,repeated_np,False,False
